Titel,URL,Hash,Revision,Last Modified,Ist Spiegel+,Text-Dateiname,HTML-Dateiname
Druck der Trump-Regierung_ Übergangspräsidentin der Columbia-Universität tritt ab,https://www.spiegel.de/wissenschaft/uebergangs-praesidentin-der-columbia-universitaet-tritt-ab-a-ac6bd36a-ec32-48b9-8f65-353a10aa14f2,946f90,0,2025-03-29T10:35:00+01:00,False,Druck der Trump-Regierung_ Übergangspräsidentin der Columbia-Universität tritt ab_946f90.txt,Druck der Trump-Regierung_ Übergangspräsidentin der Columbia-Universität tritt ab_946f90.html
+Klimapolitik_ Deutsche Klimaziele 2030 gefährdet trotz Emissionsrückgang,https://www.spiegel.de/wissenschaft/klimapolitik-deutsche-klimaziele-2030-gefaehrdet-trotz-emissionsrueckgang-a-da3922e0-dfc3-426d-92ce-c3f94249ada4,d59a39,0,2025-03-14T09:33:00+01:00,True,,+Klimapolitik_ Deutsche Klimaziele 2030 gefährdet trotz Emissionsrückgang_d59a39.html
Schwaben_ Deutsches Plesiosaurus-Fossil verändert Sichtweise auf eine ganze Art,https://www.spiegel.de/wissenschaft/natur/schwaben-deutsches-plesiosaurus-fossil-veraendert-sichtweise-auf-eine-ganze-art-a-81248302-b023-423d-a643-62a7e383922e,991c71,0,2025-04-02T10:25:00+02:00,False,Schwaben_ Deutsches Plesiosaurus-Fossil verändert Sichtweise auf eine ganze Art_991c71.txt,Schwaben_ Deutsches Plesiosaurus-Fossil verändert Sichtweise auf eine ganze Art_991c71.html
Klimaschutz und Schuldenpaket_ So wird das Geld sinnvoll verteilt - Podcast,https://www.spiegel.de/wissenschaft/klimaschutz-und-schuldenpaket-so-wird-das-geld-sinnvoll-verteilt-podcast-a-1ddc6efd-bf7b-4190-a8d4-e572156da2eb,208985,0,2025-03-19T19:34:00+01:00,False,Klimaschutz und Schuldenpaket_ So wird das Geld sinnvoll verteilt - Podcast_208985.txt,Klimaschutz und Schuldenpaket_ So wird das Geld sinnvoll verteilt - Podcast_208985.html
"+Erfolg der AfD_ »Je weniger ich weiß und verstehe, desto schneller lasse ich mich verführen«",https://www.spiegel.de/wissenschaft/erfolg-der-afd-je-weniger-ich-weiss-und-verstehe-desto-schneller-lasse-ich-mich-verfuehren-a-059cbfe9-04ad-401e-b308-eb82e35a0db6,ecba78,0,2025-03-09T15:34:00+01:00,True,,"+Erfolg der AfD_ »Je weniger ich weiß und verstehe, desto schneller lasse ich mich verführen«_ecba78.html"
James-Webb-Teleskop knipst spektakuläres Foto von »Weltraum-Tornado«,https://www.spiegel.de/wissenschaft/weltall/james-webb-teleskop-knipst-spektakulaeres-foto-von-weltraum-tornado-a-9e68adb8-eeb4-4180-bc93-f50a2377cee5,e65280,0,2025-03-25T16:14:00+01:00,False,James-Webb-Teleskop knipst spektakuläres Foto von »Weltraum-Tornado«_e65280.txt,James-Webb-Teleskop knipst spektakuläres Foto von »Weltraum-Tornado«_e65280.html
Ostsee_ Forscher aus Rostock wecken Alge nach 7000 Jahren Dauerschlaf,https://www.spiegel.de/wissenschaft/natur/ostsee-forscher-aus-rostock-wecken-alge-nach-7000-jahren-dauerschlaf-a-5da80e5c-435a-489f-8c46-a059a42fedb7,8081db,0,2025-03-28T11:40:00+01:00,False,Ostsee_ Forscher aus Rostock wecken Alge nach 7000 Jahren Dauerschlaf_8081db.txt,Ostsee_ Forscher aus Rostock wecken Alge nach 7000 Jahren Dauerschlaf_8081db.html
Laborexperiment simuliert Entstehung von Bernsteinfossilien,https://www.spiegel.de/wissenschaft/natur/wissenschaft-laborexperiment-simuliert-entstehung-von-bernsteinfossilien-a-f1ceff56-7fc3-4ca7-ba0f-df2d6a9805a0,9c46e0,0,2025-03-25T17:48:00+01:00,False,Laborexperiment simuliert Entstehung von Bernsteinfossilien_9c46e0.txt,Laborexperiment simuliert Entstehung von Bernsteinfossilien_9c46e0.html
Ukraine_ Zerstörung des Kachowka-Staudamms legte giftige Schwermetalle frei,https://www.spiegel.de/wissenschaft/ukraine-zerstoerung-des-kachowka-staudamms-legte-giftige-schwermetalle-frei-a-28c9a0ab-33b1-4849-b757-d6466436f361,e4ea8e,0,2025-03-14T15:18:00+01:00,False,Ukraine_ Zerstörung des Kachowka-Staudamms legte giftige Schwermetalle frei_e4ea8e.txt,Ukraine_ Zerstörung des Kachowka-Staudamms legte giftige Schwermetalle frei_e4ea8e.html
Serbien_ Was ist die Schallwaffe und wie funktioniert sie_,https://www.spiegel.de/wissenschaft/technik/serbien-was-ist-die-schallwaffe-und-wie-funktioniert-sie-a-487a3410-abac-44ce-a3eb-0102b213a491,e7c739,0,2025-03-17T16:23:00+01:00,False,Serbien_ Was ist die Schallwaffe und wie funktioniert sie__e7c739.txt,Serbien_ Was ist die Schallwaffe und wie funktioniert sie__e7c739.html
Österreich_ Forscher entdecken Massengrab mit römischen Soldaten bei Wien,https://www.spiegel.de/wissenschaft/mensch/oesterreich-forscher-entdecken-massengrab-mit-roemischen-soldaten-bei-wien-a-f7646e15-fb57-48c6-92ee-c440064542fa,64fade,0,2025-04-05T16:39:00+02:00,False,Österreich_ Forscher entdecken Massengrab mit römischen Soldaten bei Wien_64fade.txt,Österreich_ Forscher entdecken Massengrab mit römischen Soldaten bei Wien_64fade.html
Uni Mainz_ Rätselhafte Röhrchen - Forschende entdecken unbekannte Lebensform in der Wüste,https://www.spiegel.de/wissenschaft/natur/uni-mainz-raetselhafte-roehrchen-forschende-entdecken-unbekannte-lebensform-in-der-wueste-a-111e60f0-32bb-4ec1-8ca3-b30af68b5132,118b2b,0,2025-03-23T16:35:00+01:00,False,Uni Mainz_ Rätselhafte Röhrchen - Forschende entdecken unbekannte Lebensform in der Wüste_118b2b.txt,Uni Mainz_ Rätselhafte Röhrchen - Forschende entdecken unbekannte Lebensform in der Wüste_118b2b.html
Mars-Mission_ Deutsche Forscher entwickeln Solarzellen aus künstlichem Mondstaub,https://www.spiegel.de/wissenschaft/technik/mars-mission-deutsche-forscher-entwickeln-solarzellen-aus-kuenstlichem-mondstaub-a-4bad6aa6-7cb4-4f9c-bbab-6b74c54d53c5,3f1619,0,2025-04-04T15:25:00+02:00,False,Mars-Mission_ Deutsche Forscher entwickeln Solarzellen aus künstlichem Mondstaub_3f1619.txt,Mars-Mission_ Deutsche Forscher entwickeln Solarzellen aus künstlichem Mondstaub_3f1619.html
Mars-Mond_ Raumsonde »Hera« zeigt Deimos aus neuer Perspektive,https://www.spiegel.de/wissenschaft/weltall/mars-mond-raumsonde-hera-zeigt-deimos-aus-neuer-perspektive-a-89edd863-9e29-4d4c-9fb9-9710f0f8c57a,e98f8d,0,2025-03-13T17:36:00+01:00,False,Mars-Mond_ Raumsonde »Hera« zeigt Deimos aus neuer Perspektive_e98f8d.txt,Mars-Mond_ Raumsonde »Hera« zeigt Deimos aus neuer Perspektive_e98f8d.html
Sonnenfinsternis über Deutschland am 29. März_ Was Sie wissen sollten,https://www.spiegel.de/wissenschaft/weltall/sonnenfinsternis-ueber-deutschland-am-29-maerz-was-sie-wissen-sollten-a-bca94864-6e27-4914-9f56-4827a4243fab,ae3df8,0,2025-03-24T10:18:00+01:00,False,Sonnenfinsternis über Deutschland am 29. März_ Was Sie wissen sollten_ae3df8.txt,Sonnenfinsternis über Deutschland am 29. März_ Was Sie wissen sollten_ae3df8.html
Australien_ Forscher entdecken ältesten Meteoritenkrater der Welt,https://www.spiegel.de/wissenschaft/natur/australien-forscher-entdecken-aeltesten-meteoritenkrater-der-welt-a-bc12f399-64d8-4936-83bb-ccc519f24a32,231964,0,2025-03-07T12:47:00+01:00,False,Australien_ Forscher entdecken ältesten Meteoritenkrater der Welt_231964.txt,Australien_ Forscher entdecken ältesten Meteoritenkrater der Welt_231964.html
Pompeji_ Archäologen stoßen auf antike Grabskulpturen,https://www.spiegel.de/wissenschaft/mensch/pompeji-archaeologen-entdecken-antike-grabskulpturen-in-nekropole-von-porta-sarno-a-325eb4a5-d4af-4655-a73a-b2178c7584b0,b726c0,0,2025-04-03T08:11:00+02:00,False,Pompeji_ Archäologen stoßen auf antike Grabskulpturen_b726c0.txt,Pompeji_ Archäologen stoßen auf antike Grabskulpturen_b726c0.html
Mondsonde_ »Athena« ist wahrscheinlich umgekippt,https://www.spiegel.de/wissenschaft/weltall/mondsonde-athena-ist-wahrscheinlich-umgekippt-a-ba6821cb-c30c-4a25-bb22-56de94bc21a5,b668e2,0,2025-03-07T11:51:00+01:00,False,Mondsonde_ »Athena« ist wahrscheinlich umgekippt_b668e2.txt,Mondsonde_ »Athena« ist wahrscheinlich umgekippt_b668e2.html
Klimawandel_ Globales Meereis schrumpft auf auf historisches Minimum,https://www.spiegel.de/wissenschaft/natur/klimawandel-globales-meereis-schrumpft-auf-auf-historisches-minimum-a-c7b80935-0f03-45f7-9931-bd34b6a55b55,ae6ce5,0,2025-03-06T11:48:00+01:00,False,Klimawandel_ Globales Meereis schrumpft auf auf historisches Minimum_ae6ce5.txt,Klimawandel_ Globales Meereis schrumpft auf auf historisches Minimum_ae6ce5.html
+Ariane 6 bringt europäischen Spionagesatelliten CSO-3 in All,https://www.spiegel.de/wissenschaft/ariane-6-bringt-europaeischen-spionagesatelliten-cso-3-in-all-a-e272968c-20b1-43db-8f94-1711294694f2,a43f44,0,2025-03-07T08:47:00+01:00,True,,+Ariane 6 bringt europäischen Spionagesatelliten CSO-3 in All_a43f44.html
+Klimawandel und Natur_ Wie Pflanzen den Frühlingsanfang beeinflussen,https://www.spiegel.de/wissenschaft/natur/klimawandel-und-natur-wie-pflanzen-den-fruehlingsanfang-beeinflussen-a-4915c643-3620-42dc-8da3-b2e307a66673,501115,0,2025-03-18T10:23:00+01:00,True,,+Klimawandel und Natur_ Wie Pflanzen den Frühlingsanfang beeinflussen_501115.html
